Principal component 1,Principal component 2,Principal component 3,Principal component 4,Principal component 5,Principal component 6,Principal component 7,Principal component 8,Principal component 9,Principal component 10,Target
3.0682958270472795,-1.8804628698119752,-1.9096176520150814,-0.4654588783012737,-0.40422997334363986,-0.03941539257771115,0.6016144575863953,-0.07151426135547007,0.21616816843923908,-0.03255611258508624,"Contour_px0_center[8798, 7152].png"
-2.2195269438078906,-0.3183081261837423,2.582652552641223,-0.3364201603156438,0.729671173468747,-0.19317944357391728,-0.5444613795234419,0.05037356996187392,0.11741289458021276,0.04606212494635699,"Contour_px100_center[2425, 5645].png"
0.321067730869951,8.596327487613367,-1.538125606488177,-1.3736030537438757,0.37206599578719457,0.4691904288686367,3.1552895814066324,-0.06872809622943518,0.10113100785509413,-0.07297086090732478,"Contour_px102_center[9714, 5703].png"
1.0623201811050476,0.4196717674293748,0.09904654662257915,-0.5208355304015332,-0.02539169871319561,-1.5263594513658922,0.047205555875091045,0.16725312952025406,-0.09539406851870429,-0.06077508306166425,"Contour_px103_center[2094, 5670].png"
1.6626867181321006,-1.2065574772492058,-0.4964699679724202,0.6653216374967459,0.4878955556423435,0.09136692204760712,-0.02102839570250708,-0.37707881223783857,0.20907791597916228,-0.043596933496228514,"Contour_px104_center[7121, 5633].png"
-1.7133398232126038,-1.2236155467580196,-1.2046307538213865,-1.1343939136655428,-0.7661073019126002,0.23607491247823056,-0.3294178397454377,0.03901563890870123,-0.04770143651211031,-0.043739861515985405,"Contour_px105_center[455, 5673].png"
-2.1280249040285373,2.280008232177144,1.8114378783227807,0.2473927562094867,-1.573056830162145,-0.2721834988246466,0.46598003665729687,-0.5524202462642774,0.22560226606701173,0.10572379144807116,"Contour_px106_center[13634, 5662].png"
-0.6036919007354041,-0.6894769661911088,0.2372854819468165,-0.5657602916683216,0.4978929330997954,-0.2816777405770674,0.4238726336586042,-0.11654081764377108,0.008658774690907435,-0.06846109249969239,"Contour_px107_center[3119, 5619].png"
0.5034950328128529,-0.26570380334693244,-0.14138686999957809,0.02388453905532923,-0.7528112911119058,-0.1312357159061397,-0.36190011749915935,0.05559167260212272,-0.18463607993851439,-0.05209086234058416,"Contour_px108_center[1020, 5640].png"
-1.7075429535704412,-1.4695398854965773,-0.28940990737571015,0.35295463639877134,0.519922202892144,0.010424775314956903,0.2438369626627157,0.010145171994662952,0.020899736456469947,0.09650002503195326,"Contour_px109_center[12114, 5671].png"
0.2796893722039335,-0.7748842128496877,0.839369906278513,-0.3820335628673829,0.12928269223481614,-0.49548459157131103,-0.03099449238980415,0.10162499457307021,0.2165815766011219,-0.02417675145801965,"Contour_px10_center[4181, 6694].png"
-1.4831372389340565,-1.1728080300436754,0.29963577495425,-0.712855144051456,-0.7173635089742609,-0.32650094221051834,0.21877425183948446,0.23506931100525716,-0.16116267484712188,-0.03273934358192045,"Contour_px110_center[3470, 5611].png"
5.216862789442128,2.0805618635154204,-0.6528288433412526,-0.13263931623302375,0.2713549465980782,-1.5379663601328033,-0.24137006700779964,0.22788343911346912,-0.09400986231149429,0.060036820460827686,"Contour_px111_center[8134, 5600].png"
-1.5242263336400825,0.31064719306186916,-0.2543092004401394,-0.8572412475137499,-0.402864099308088,-0.31397761376873196,-0.01574654534821389,-0.01007633606032282,-0.14183762222818272,-0.038751137793661426,"Contour_px112_center[6878, 5583].png"
2.0526277124875474,-0.20464854845249505,-0.6069531098171078,-1.1765778799174156,-0.12155305304551758,-0.406403871502682,-0.2227785025103123,0.24180729092017464,0.10542347557469349,0.16818086867221296,"Contour_px113_center[10625, 5672].png"
-2.72656054415114,1.0284148218463482,-1.0509650323398498,-0.9371663986611105,-0.13824723200611547,0.4942809983976224,-0.9249059545011128,-0.1690304524007643,-0.09148492318996125,-0.07934745865315312,"Contour_px114_center[11241, 5693].png"
5.472298954959645,-0.9765306800284401,-0.2902173164249362,0.7581535683743504,1.9182111164021858,-0.4565122214750445,0.042214252008302346,-0.021771738916561513,-0.1745629378223234,-0.09553889451055461,"Contour_px115_center[3818, 5592].png"
-1.5406968656147357,0.5563738310681583,-0.3042253998394374,0.4077223842450483,0.6203296550339578,-0.1589795580278361,-0.7567026266693999,-0.05561441792673208,-0.2608474213776735,0.2389462794516175,"Contour_px116_center[4241, 5568].png"
5.7150777457046935,1.3977124262488214,0.043392378573757794,-0.6152079567547254,0.5085662077187089,-2.0168448160239763,-0.0254962077251604,-0.09087491746446497,-0.33853638048753265,0.29262300994289164,"Contour_px117_center[12847, 5566].png"
-2.5844647026436256,0.9395267010737198,-0.4324450177854455,4.0837418944221,1.5397655181520495,1.8551080554870545,0.5844232604829894,-0.6993887279693423,0.2080453599638144,0.025794227904618723,"Contour_px118_center[9278, 5536].png"
0.1805837540966915,-0.8726173939227156,-0.7889592116247567,-0.3530146974325709,1.149559505111311,-0.06666642451584538,-0.004565918372701728,0.25501034341377227,0.3867740589282563,0.034400211241934084,"Contour_px119_center[6529, 5567].png"
-3.111092132945791,-0.10026337019136479,-0.3986111953695278,0.7387742453030924,0.7639407313912363,0.7267450238904352,-1.019002958334597,-0.10476222438971103,-0.1310646162733577,0.031892123937736036,"Contour_px11_center[4834, 6621].png"
0.659059264828653,2.037193879118233,-0.9706694915502497,0.5646488223719951,-0.9876403367216596,-0.3497469198481125,-0.8659335904824603,-0.1870165739872506,-0.050752901192384244,-0.041340323750907355,"Contour_px120_center[1386, 5543].png"
-1.2337794414846486,0.4899612630092514,-0.1569142035340951,-1.1823512594664822,0.34402242325902727,0.13724815234678972,1.015740635125589,0.1272151328868338,-0.081881425082193,-0.08073111429556278,"Contour_px121_center[7312, 5504].png"
4.183151008640371,-0.04326747279230879,0.3339113499480791,-0.42598496535581576,0.16425704090575632,-1.6411078325869894,0.16329544471544338,0.3197534263800114,-0.06312529226296046,0.00993193668317314,"Contour_px122_center[11673, 5669].png"
2.923357182302978,-0.20974909821189636,0.7695241420623337,1.7920529386544364,-0.759648031526935,-1.0123615410759368,0.29125880510766894,-0.06434998105548484,-0.021118048689811732,-0.018049827608131636,"Contour_px123_center[14035, 5507].png"
-2.700195905657827,2.656340669211927,-1.3204160690091067,0.24326904522194745,-1.3898138066081314,0.3246404489655183,-1.732020508797293,-0.47145424551557247,-0.21406130005380616,-0.0694586221511349,"Contour_px124_center[8512, 5499].png"
-3.0025653187373336,-1.0899226864005809,-1.5106349315690613,0.4578497752982275,1.2015870114963971,0.9094866022912993,-0.24200810720122418,-0.08154515141610764,-0.07069245118764071,-0.037739517833606954,"Contour_px125_center[13172, 5532].png"
-0.1185776990088596,2.7439350548157755,-2.131272848808841,0.43766404662667147,0.180467096386612,0.22234279420234732,-1.9130492489886541,0.32648291565532667,0.2538015108507214,-0.011580874641299456,"Contour_px126_center[2816, 5512].png"
-2.4019712470682983,-0.4083051536238428,0.8155748752349289,-1.4647621266312434,-0.8833662345348482,-0.44087159594581266,-0.41008195418996274,0.07826096564087877,-0.06787260304049345,-0.003126409816352408,"Contour_px127_center[9605, 5453].png"
-1.615852296742067,-0.873021023344133,-0.6375611040102875,0.8569864667478931,0.9711987553822131,0.7559845410554418,-0.6146139822305348,-0.005084669891887703,-0.1430432761564576,0.0050768830625761135,"Contour_px128_center[6128, 5481].png"
-2.778221757466819,3.629829912945886,-1.1100089988489679,-0.9577989133167532,0.6712949302256692,0.6960474579943141,2.1596701144432524,-0.34675982928138915,-0.2878081771116688,-0.11354663513227992,"Contour_px129_center[5761, 5537].png"
-2.6223612824289866,-0.39341874949485267,-1.0448016239514422,0.7360236489984593,-0.10926642850433459,-0.05718772592912323,-0.034410812998210964,-0.1499388030439921,-0.09997988785628491,-0.023242698768196797,"Contour_px12_center[5721, 6607].png"
-0.318345791377988,-0.3969919754254911,-0.948820954115045,-0.2969879980593876,-0.6583612962940448,-0.4363999902969257,0.5690570067042782,-0.0781398477128087,-0.18203765673415329,0.18418479222115108,"Contour_px130_center[8837, 5397].png"
4.211136700021362,-0.6074795623611803,-0.14129923762203528,0.1502786113462472,0.22327451125440864,-0.7853510433583654,0.48685307754229035,0.06415998028860478,0.2122764448472384,-0.04999564773903138,"Contour_px131_center[4663, 5469].png"
2.617784593209362,1.498426334985597,-1.6742533899218492,-0.8001625224309733,0.390528784052178,0.03004743484266338,-0.782314948414435,0.11797017415316209,0.6895171319429265,-0.004003822675097911,"Contour_px132_center[939, 5353].png"
-1.3856282180091972,4.486529286991032,-0.7257959582467437,-0.2312928217733581,-0.7275542698050861,-0.2730962961202591,1.1619015508093602,-0.10113063852678122,-0.23227528356275795,-0.08122082163102226,"Contour_px133_center[7678, 5452].png"
-2.3626194150834254,-0.8913764168704877,-0.7211233349803658,-0.03882528994606429,0.784961057584133,0.9928189306366308,0.06790573828529993,-0.07031003937800277,0.01842239286941657,-0.0052610794687807765,"Contour_px134_center[6737, 5341].png"
-0.6756320284335517,3.9877561576477,-2.1737437788548357,0.5843549139631478,0.6594046784317842,0.2572622246725184,-1.3430999198704168,0.2499421348612241,0.27710283981305145,-0.007986499387933567,"Contour_px135_center[5261, 5365].png"
-2.34718977307898,-0.4674964130889687,1.281404982233863,-0.5512125524714815,-1.3790363478391259,-0.6120135318383771,-0.4163967457391282,0.11096110441549596,0.04961091675660872,0.02890601205536877,"Contour_px136_center[10070, 5374].png"
-2.0709145835700524,1.7247541082318711,-1.4426453425084604,-0.07975999094757454,-0.4524536066488765,0.24394093608173953,-0.9648726479063425,-0.19343770814821362,-0.16753989524799995,0.11754457545131089,"Contour_px137_center[10545, 5374].png"
-1.192146122108508,-0.8908834698710887,-0.8665787236039934,0.7599305464313086,0.16105483700023399,-0.09925921113800307,-0.10063068320933921,-0.05961391852623351,-0.050506415278104316,-0.04701783248805109,"Contour_px138_center[7028, 5323].png"
-1.5032871072625325,-1.8599845785078468,-0.3273134524221746,0.0052058523027988185,-0.29702610377493827,0.30486804019461444,0.265686110842761,-0.009527975050326279,0.041168861695285636,-0.03241473338452775,"Contour_px139_center[14721, 5355].png"
0.5455121975848113,-1.26783888302574,0.2909837292417693,1.2203312571038802,-0.09466116117664067,0.1283906190487919,-0.0011537664144295327,-0.08655977501559384,0.10171687378019832,-0.018763370243600704,"Contour_px13_center[6564, 6633].png"
-1.7544213514003688,-0.025424721302405095,-1.3182784048635774,-0.31048200789264346,0.3690947198034139,0.1525404541966517,-0.0553520343369797,0.0007935881746838912,-0.046646197182242735,-0.0690991366157189,"Contour_px140_center[3668, 5280].png"
0.9181762887768304,-0.13761318995586946,0.42573760462146953,0.7495733627727448,1.2210376800401013,-0.3844401394941535,-0.34040482376969505,0.0007391540588674453,0.1559306372884985,-0.0440683752141309,"Contour_px141_center[486, 5272].png"
-2.458180500214948,-1.6732170660901198,-0.5121416267218766,-0.2675927765039239,-0.7082841109914331,-0.3177416092063016,0.036106857571163345,0.05927099977739215,-0.0470098779680745,-0.041550105366957156,"Contour_px142_center[3415, 5246].png"
-2.4672648650622206,-1.3403252850450789,0.3535209388416139,-0.48173065533552395,1.0616364639066183,0.45648699861673525,-0.020996714749606495,-0.0822941028401058,0.2305907164470902,-0.01845723949103222,"Contour_px143_center[11831, 5339].png"
-0.2768626891822364,-2.2165787376415396,-0.2569111243094833,-0.7668622694111034,0.5285930043834262,0.3572506247186006,0.10983449870326696,-0.01879739140072066,-0.01777731954760034,-0.044834816568995337,"Contour_px144_center[1759, 5329].png"
-1.8730669860579516,0.39682744229334627,1.1365072868497939,0.21758567883984264,-0.9860938200105868,0.3189874918082625,-0.003062854995196799,-0.11626178362034868,0.10131454259036585,0.011926495697398,"Contour_px145_center[11414, 5271].png"
-1.8874031484501945,-0.9356513577838481,-0.3253489768902628,-0.3394843463169489,-0.48491194840843826,1.2061482723822086,0.3600684842467178,-0.004434130528715842,-0.0068027525358434855,0.007243240920855531,"Contour_px146_center[9746, 5226].png"
-1.182049245101431,0.42689775625335435,-0.2433349736405245,-0.44951309356505437,0.4400764614572669,-0.0014571174026303546,0.3147734835474993,-0.0583717234129666,-0.09403334210389644,-0.07937072218093862,"Contour_px147_center[7315, 5233].png"
0.20937057893671057,0.40578905927894887,1.73778316052273,0.7568463137971431,-1.4912316803191068,-0.8890886576521938,0.0014460696269215847,0.03070410139985529,-0.19335248068164892,-0.029275607778293543,"Contour_px148_center[2697, 5237].png"
-0.8738455206441085,0.15473923818614851,0.4875263636698948,1.662718584186551,-0.6124735074162784,-0.19141695785869098,0.6823072393853034,0.16614857869007313,-0.1889714289801884,-0.023154225957962255,"Contour_px149_center[12191, 5253].png"
-0.6463679706709449,-0.6975668774379574,-0.060314447479276785,1.3379935542702206,-0.6750588245802462,-0.40075173815628157,0.7727466191368777,0.03405665250483346,0.032166647755873266,-0.007962698456470258,"Contour_px14_center[959, 6610].png"
-1.210119208857793,-0.7787210100559308,-1.8810553370394247,0.6469441072025381,-0.3836216266684982,0.3316446121590667,-0.6842834974039436,-0.03571906433561183,-0.062403879456857436,-0.022590280389642187,"Contour_px150_center[3027, 5233].png"
6.466372395065893,0.3347076421815459,-0.26707694859763115,-1.3231670020208897,0.668485199328418,0.1834017736294399,0.16321382397519135,-0.7451267981738459,0.7936511451157374,-0.058065325677483584,"Contour_px151_center[6245, 5187].png"
0.6807814798046523,-0.3029699480971351,0.6695216753679001,-0.7602464598890685,-0.7310856079241751,-0.7219006368795385,0.11195556561334834,0.03663875972528968,-0.08492516854134233,0.18808728402300748,"Contour_px152_center[2359, 5259].png"
